date,tmax_f,tmin_f,energy_mwh,city,day_of_week
2025-06-17,91.94,71.06,2441966,Chicago,Tuesday
2025-06-18,80.96,66.02,2603434,Chicago,Wednesday
2025-06-19,84.91999999999999,64.94,2563056,Chicago,Thursday
2025-06-20,86.0,69.08,2456207,Chicago,Friday
2025-06-21,93.91999999999999,78.08,2613504,Chicago,Saturday
2025-06-22,93.91999999999999,80.06,2804264,Chicago,Sunday
2025-06-23,95.0,78.98,3215948,Chicago,Monday
2025-06-24,93.91999999999999,73.94,3267277,Chicago,Tuesday
2025-06-25,89.06,71.06,3171879,Chicago,Wednesday
2025-06-26,93.91999999999999,77.0,3011498,Chicago,Thursday
2025-06-27,87.08000000000001,71.96,2645211,Chicago,Friday
2025-06-28,89.96000000000001,68.0,2564719,Chicago,Saturday
2025-06-29,93.91999999999999,73.04,2713489,Chicago,Sunday
2025-06-30,89.96000000000001,73.94,2883552,Chicago,Monday
2025-07-01,87.08000000000001,69.98,2814637,Chicago,Tuesday
2025-07-02,91.03999999999999,71.06,2694076,Chicago,Wednesday
2025-07-03,95.0,71.96,2743047,Chicago,Thursday
2025-07-04,91.94,73.94,2471770,Chicago,Friday
2025-07-05,93.91999999999999,75.92,2549271,Chicago,Saturday
2025-07-06,84.91999999999999,66.02,2649756,Chicago,Sunday
2025-07-07,82.94,64.94,2874215,Chicago,Monday
2025-07-08,84.02,69.08,2892460,Chicago,Tuesday
2025-07-09,84.91999999999999,69.08,2812572,Chicago,Wednesday
2025-07-10,84.91999999999999,66.92,2732427,Chicago,Thursday
2025-07-11,89.96000000000001,69.98,2858008,Chicago,Friday
2025-07-12,84.02,69.08,2759899,Chicago,Saturday
2025-07-13,80.96,66.92,2667217,Chicago,Sunday
2025-07-14,87.08000000000001,66.02,2839021,Chicago,Monday
2025-07-15,91.03999999999999,69.98,2865166,Chicago,Tuesday
2025-07-16,89.96000000000001,69.98,2955804,Chicago,Wednesday
2025-07-17,71.96,57.92,2918810,Chicago,Thursday
2025-07-18,80.06,57.92,2694467,Chicago,Friday
2025-07-19,82.94,73.04,2550151,Chicago,Saturday
2025-07-20,75.02,66.02,2598148,Chicago,Sunday
2025-07-21,82.04,62.959999999999994,2676950,Chicago,Monday
2025-07-22,86.0,69.08,2599320,Chicago,Tuesday
2025-07-23,93.91999999999999,71.96,2732835,Chicago,Wednesday
2025-07-24,91.94,73.94,2911781,Chicago,Thursday
2025-07-25,82.94,73.04,2996805,Chicago,Friday
2025-07-26,82.94,73.04,2789738,Chicago,Saturday
2025-07-27,87.98,73.04,2753133,Chicago,Sunday
2025-07-28,91.94,75.02,3026748,Chicago,Monday
2025-07-29,93.02,69.98,3101050,Chicago,Tuesday
2025-07-30,80.06,68.0,3105921,Chicago,Wednesday
2025-07-31,75.92,64.04,2795976,Chicago,Thursday
2025-08-01,75.02,60.980000000000004,2322750,Chicago,Friday
2025-08-02,78.08,59.0,2136844,Chicago,Saturday
2025-08-03,78.98,60.980000000000004,2144322,Chicago,Sunday
2025-08-04,80.96,62.959999999999994,2435629,Chicago,Monday
2025-08-05,82.94,64.94,2516201,Chicago,Tuesday
2025-08-06,87.08000000000001,64.94,2531525,Chicago,Wednesday
2025-08-07,91.03999999999999,73.04,2583194,Chicago,Thursday
2025-08-08,91.94,73.94,2598414,Chicago,Friday
2025-08-09,95.0,75.92,2481297,Chicago,Saturday
2025-08-10,89.06,77.0,2509029,Chicago,Sunday
2025-08-11,89.06,71.96,2782134,Chicago,Monday
2025-08-12,84.91999999999999,71.96,2900387,Chicago,Tuesday
2025-08-13,86.0,69.08,2848095,Chicago,Wednesday
2025-08-14,84.02,66.02,2825919,Chicago,Thursday
2025-08-15,91.03999999999999,69.08,2851037,Chicago,Friday
2025-08-16,95.0,73.04,2766357,Chicago,Saturday
2025-08-17,80.96,69.08,2700450,Chicago,Sunday
2025-08-18,87.08000000000001,71.06,2597442,Chicago,Monday
2025-08-19,78.08,69.08,2511390,Chicago,Tuesday
2025-08-20,75.92,66.02,2457949,Chicago,Wednesday
2025-08-21,75.92,64.94,2319481,Chicago,Thursday
2025-08-22,80.96,62.959999999999994,2356331,Chicago,Friday
2025-08-23,82.94,62.959999999999994,2282663,Chicago,Saturday
2025-08-24,73.04,59.0,2247159,Chicago,Sunday
2025-08-25,69.98,55.04,2312326,Chicago,Monday
2025-08-26,73.94,53.96,2177753,Chicago,Tuesday
2025-08-27,75.92,55.04,2116583,Chicago,Wednesday
2025-08-28,77.0,60.08,2128604,Chicago,Thursday
2025-08-29,69.98,55.04,2112361,Chicago,Friday
2025-08-30,73.94,60.980000000000004,1910555,Chicago,Saturday
2025-08-31,75.02,53.96,1882888,Chicago,Sunday
2025-09-01,77.0,57.92,1971350,Chicago,Monday
2025-09-02,80.96,59.0,2158059,Chicago,Tuesday
2025-09-03,71.96,55.04,2206000,Chicago,Wednesday
2025-09-04,66.02,48.02,2203444,Chicago,Thursday
2025-09-05,66.92,53.06,2291887,Chicago,Friday
2025-09-06,68.0,48.02,2170960,Chicago,Saturday
2025-09-07,69.08,46.94,1933207,Chicago,Sunday
2025-09-08,71.06,50.0,2016842,Chicago,Monday
2025-09-09,75.92,53.06,2046711,Chicago,Tuesday
2025-09-10,82.04,60.08,2122107,Chicago,Wednesday
2025-09-11,77.0,62.059999999999995,2207588,Chicago,Thursday
2025-09-12,84.02,60.08,2201817,Chicago,Friday
