date,tmax_f,tmin_f,energy_mwh,city,day_of_week
2025-06-04,91.94,78.98,1436752,Houston,Wednesday
2025-06-05,93.91999999999999,75.92,1484415,Houston,Thursday
2025-06-06,95.0,80.06,1556312,Houston,Friday
2025-06-07,96.98,78.98,1540685,Houston,Saturday
2025-06-08,98.06,78.98,1544135,Houston,Sunday
2025-06-09,93.91999999999999,71.96,1512714,Houston,Monday
2025-06-10,93.02,77.0,1449338,Houston,Tuesday
2025-06-11,82.94,73.94,1352134,Houston,Wednesday
2025-06-12,80.96,71.06,1327811,Houston,Thursday
2025-06-13,91.94,73.04,1459368,Houston,Friday
2025-06-14,93.02,77.0,1493849,Houston,Saturday
2025-06-15,93.91999999999999,73.04,1415636,Houston,Sunday
2025-06-16,91.94,73.94,1471507,Houston,Monday
2025-06-17,95.0,77.0,1554738,Houston,Tuesday
2025-06-18,95.0,78.98,1577291,Houston,Wednesday
2025-06-19,95.0,78.98,1593021,Houston,Thursday
2025-06-20,96.08000000000001,78.98,1610371,Houston,Friday
2025-06-21,96.08000000000001,80.96,1554754,Houston,Saturday
2025-06-22,93.91999999999999,78.08,1538862,Houston,Sunday
2025-06-23,93.91999999999999,78.08,1583960,Houston,Monday
2025-06-24,96.08000000000001,77.0,1560533,Houston,Tuesday
2025-06-25,89.06,75.92,1505548,Houston,Wednesday
2025-06-26,95.0,75.92,1512432,Houston,Thursday
2025-06-27,93.91999999999999,75.02,1533673,Houston,Friday
2025-06-28,95.0,75.02,1550370,Houston,Saturday
2025-06-29,93.02,75.92,1517724,Houston,Sunday
2025-06-30,93.91999999999999,73.94,1526455,Houston,Monday
2025-07-01,96.98,75.02,1485853,Houston,Tuesday
2025-07-02,96.08000000000001,77.0,1514496,Houston,Wednesday
2025-07-03,93.91999999999999,75.02,1443705,Houston,Thursday
2025-07-04,91.03999999999999,75.02,1394139,Houston,Friday
2025-07-05,93.91999999999999,78.08,1379857,Houston,Saturday
2025-07-06,96.08000000000001,75.92,1406387,Houston,Sunday
2025-07-07,95.0,78.08,1499691,Houston,Monday
2025-07-08,91.03999999999999,73.04,1495487,Houston,Tuesday
2025-07-09,91.03999999999999,73.04,1467582,Houston,Wednesday
2025-07-10,95.0,78.08,1518228,Houston,Thursday
2025-07-11,93.02,78.98,1545458,Houston,Friday
2025-07-12,95.0,78.98,1500912,Houston,Saturday
2025-07-13,95.0,75.92,1429861,Houston,Sunday
2025-07-14,91.94,73.94,1500736,Houston,Monday
2025-07-15,95.0,75.92,1571182,Houston,Tuesday
2025-07-16,96.98,78.98,1593078,Houston,Wednesday
2025-07-17,91.94,75.02,1575750,Houston,Thursday
2025-07-18,93.91999999999999,78.98,1569496,Houston,Friday
2025-07-19,96.08000000000001,78.08,1574763,Houston,Saturday
2025-07-20,96.98,78.98,1576497,Houston,Sunday
2025-07-21,98.06,80.06,1625772,Houston,Monday
2025-07-22,100.03999999999999,77.0,1634706,Houston,Tuesday
2025-07-23,98.96000000000001,75.92,1640758,Houston,Wednesday
2025-07-24,98.96000000000001,80.06,1662314,Houston,Thursday
2025-07-25,91.94,78.08,1589385,Houston,Friday
2025-07-26,91.94,77.0,1547097,Houston,Saturday
2025-07-27,95.0,77.0,1553630,Houston,Sunday
2025-07-28,98.06,78.08,1636215,Houston,Monday
2025-07-29,98.96000000000001,80.06,1642723,Houston,Tuesday
2025-07-30,100.94,80.06,1616133,Houston,Wednesday
2025-07-31,95.0,82.94,1645549,Houston,Thursday
2025-08-01,96.98,82.04,1630725,Houston,Friday
2025-08-02,91.94,78.08,1540549,Houston,Saturday
2025-08-03,98.06,78.08,1532694,Houston,Sunday
2025-08-04,91.03999999999999,75.92,1531152,Houston,Monday
2025-08-05,96.08000000000001,77.0,1583718,Houston,Tuesday
2025-08-06,100.03999999999999,77.0,1627888,Houston,Wednesday
2025-08-07,100.03999999999999,78.08,1657565,Houston,Thursday
2025-08-08,100.03999999999999,78.98,1676724,Houston,Friday
2025-08-09,98.06,78.08,1650781,Houston,Saturday
2025-08-10,93.91999999999999,77.0,1616746,Houston,Sunday
2025-08-11,96.98,78.08,1643483,Houston,Monday
2025-08-12,96.98,78.98,1617191,Houston,Tuesday
2025-08-13,98.96000000000001,78.08,1605466,Houston,Wednesday
2025-08-14,98.96000000000001,80.06,1665837,Houston,Thursday
2025-08-15,95.0,78.98,1665278,Houston,Friday
2025-08-16,95.0,78.08,1607716,Houston,Saturday
2025-08-17,100.94,77.0,1631894,Houston,Sunday
2025-08-18,100.94,78.98,1681866,Houston,Monday
2025-08-19,95.0,77.0,1646751,Houston,Tuesday
2025-08-20,100.94,77.0,1582391,Houston,Wednesday
2025-08-21,96.08000000000001,78.98,1581852,Houston,Thursday
2025-08-22,89.06,75.02,1539152,Houston,Friday
2025-08-23,95.0,75.02,1518117,Houston,Saturday
2025-08-24,98.96000000000001,77.0,1552959,Houston,Sunday
2025-08-25,96.98,77.0,1611027,Houston,Monday
2025-08-26,96.98,75.02,1560658,Houston,Tuesday
2025-08-27,93.02,77.0,1569195,Houston,Wednesday
2025-08-28,96.08000000000001,75.92,1642344,Houston,Thursday
2025-08-29,96.98,78.98,1565601,Houston,Friday
2025-08-30,95.0,75.02,1472793,Houston,Saturday
