date,tmax_f,tmin_f,energy_mwh,city,day_of_week
2025-06-04,82.94,62.059999999999995,398247,New York,Wednesday
2025-06-05,87.08000000000001,69.98,450580,New York,Thursday
2025-06-06,84.02,71.06,459310,New York,Friday
2025-06-07,75.92,66.02,407747,New York,Saturday
2025-06-08,75.92,62.959999999999994,372609,New York,Sunday
2025-06-09,64.04,62.059999999999995,393737,New York,Monday
2025-06-10,73.04,62.059999999999995,391678,New York,Tuesday
2025-06-11,80.96,64.94,408877,New York,Wednesday
2025-06-12,87.08000000000001,69.98,442764,New York,Thursday
2025-06-13,78.08,66.92,410319,New York,Friday
2025-06-14,68.0,59.0,360984,New York,Saturday
2025-06-15,64.04,59.0,346071,New York,Sunday
2025-06-16,69.08,60.08,385072,New York,Monday
2025-06-17,66.92,62.059999999999995,403093,New York,Tuesday
2025-06-18,84.02,64.94,442047,New York,Wednesday
2025-06-19,87.98,69.98,486067,New York,Thursday
2025-06-20,82.04,66.92,445034,New York,Friday
2025-06-21,86.0,71.96,453899,New York,Saturday
2025-06-22,87.98,71.06,499901,New York,Sunday
2025-06-23,96.08000000000001,80.06,605720,New York,Monday
2025-06-24,98.96000000000001,80.96,634989,New York,Tuesday
2025-06-25,96.08000000000001,80.96,631325,New York,Wednesday
2025-06-26,84.91999999999999,66.02,504822,New York,Thursday
2025-06-27,71.96,62.059999999999995,425393,New York,Friday
2025-06-28,82.94,62.959999999999994,436440,New York,Saturday
2025-06-29,89.06,77.0,478643,New York,Sunday
2025-06-30,89.96000000000001,71.06,532117,New York,Monday
2025-07-01,89.06,71.96,553433,New York,Tuesday
2025-07-02,84.02,71.06,510732,New York,Wednesday
2025-07-03,87.98,69.08,494340,New York,Thursday
2025-07-04,82.94,66.92,412395,New York,Friday
2025-07-05,84.02,68.0,439855,New York,Saturday
2025-07-06,87.08000000000001,71.96,500009,New York,Sunday
2025-07-07,87.08000000000001,75.92,565879,New York,Monday
2025-07-08,93.02,73.04,574492,New York,Tuesday
2025-07-09,89.96000000000001,73.04,556728,New York,Wednesday
2025-07-10,84.02,69.98,530750,New York,Thursday
2025-07-11,84.02,73.04,533381,New York,Friday
2025-07-12,82.94,73.94,514639,New York,Saturday
2025-07-13,82.94,71.06,510365,New York,Sunday
2025-07-14,84.91999999999999,73.04,554606,New York,Monday
2025-07-15,86.0,71.96,553254,New York,Tuesday
2025-07-16,87.08000000000001,77.0,587198,New York,Wednesday
2025-07-17,89.96000000000001,75.02,594728,New York,Thursday
2025-07-18,82.04,73.04,492801,New York,Friday
2025-07-19,80.96,69.08,454397,New York,Saturday
2025-07-20,87.98,75.02,507938,New York,Sunday
2025-07-21,84.91999999999999,71.06,493897,New York,Monday
2025-07-22,80.96,66.92,443227,New York,Tuesday
2025-07-23,80.06,69.08,466856,New York,Wednesday
2025-07-24,87.08000000000001,69.98,524638,New York,Thursday
2025-07-25,95.0,75.92,575639,New York,Friday
2025-07-26,84.91999999999999,73.94,501454,New York,Saturday
2025-07-27,84.02,73.04,497735,New York,Sunday
2025-07-28,93.91999999999999,75.92,578466,New York,Monday
2025-07-29,96.98,78.08,610519,New York,Tuesday
2025-07-30,95.0,75.02,603912,New York,Wednesday
2025-07-31,89.06,64.94,531768,New York,Thursday
2025-08-01,73.04,62.959999999999994,416720,New York,Friday
2025-08-02,80.06,62.959999999999994,387889,New York,Saturday
2025-08-03,84.02,64.04,403537,New York,Sunday
2025-08-04,89.06,66.92,470645,New York,Monday
2025-08-05,86.0,71.06,487114,New York,Tuesday
2025-08-06,78.98,64.04,474832,New York,Wednesday
2025-08-07,80.96,64.04,461535,New York,Thursday
2025-08-08,82.04,62.959999999999994,450265,New York,Friday
2025-08-09,84.91999999999999,64.04,434994,New York,Saturday
2025-08-10,89.96000000000001,69.08,459226,New York,Sunday
2025-08-11,89.06,71.96,515453,New York,Monday
2025-08-12,91.03999999999999,71.06,541109,New York,Tuesday
2025-08-13,89.06,71.06,557728,New York,Wednesday
2025-08-14,89.06,73.04,539828,New York,Thursday
2025-08-15,89.06,73.94,517722,New York,Friday
2025-08-16,84.02,73.94,492830,New York,Saturday
2025-08-17,91.03999999999999,73.04,498703,New York,Sunday
2025-08-18,75.02,66.02,430269,New York,Monday
2025-08-19,77.0,64.94,413861,New York,Tuesday
2025-08-20,69.98,57.92,413024,New York,Wednesday
2025-08-21,71.96,59.0,385529,New York,Thursday
2025-08-22,82.94,57.92,398716,New York,Friday
2025-08-23,82.04,66.92,400489,New York,Saturday
2025-08-24,80.06,66.92,414496,New York,Sunday
2025-08-25,86.0,69.98,447864,New York,Monday
2025-08-26,78.98,62.959999999999994,410750,New York,Tuesday
2025-08-27,75.02,60.980000000000004,389620,New York,Wednesday
2025-08-28,78.08,60.980000000000004,387000,New York,Thursday
2025-08-29,78.08,64.94,392702,New York,Friday
2025-08-30,75.92,57.02,344509,New York,Saturday
