date,tmax_f,tmin_f,energy_mwh,city,day_of_week
2025-06-17,109.94,86.0,139887,Phoenix,Tuesday
2025-06-18,114.08000000000001,82.94,141227,Phoenix,Wednesday
2025-06-19,116.96000000000001,84.91999999999999,140755,Phoenix,Thursday
2025-06-20,109.94,84.02,129248,Phoenix,Friday
2025-06-21,105.98,82.04,122688,Phoenix,Saturday
2025-06-22,98.96000000000001,78.98,113638,Phoenix,Sunday
2025-06-23,104.0,80.06,119992,Phoenix,Monday
2025-06-24,105.08000000000001,80.96,119169,Phoenix,Tuesday
2025-06-25,102.91999999999999,78.98,118864,Phoenix,Wednesday
2025-06-26,105.08000000000001,80.96,125641,Phoenix,Thursday
2025-06-27,107.06,82.04,132655,Phoenix,Friday
2025-06-28,109.03999999999999,87.08000000000001,136334,Phoenix,Saturday
2025-06-29,114.08000000000001,87.08000000000001,142922,Phoenix,Sunday
2025-06-30,116.06,89.96000000000001,152998,Phoenix,Monday
2025-07-01,111.91999999999999,93.02,155541,Phoenix,Tuesday
2025-07-02,109.03999999999999,78.08,148078,Phoenix,Wednesday
2025-07-03,102.02,78.08,126386,Phoenix,Thursday
2025-07-04,102.91999999999999,82.04,124263,Phoenix,Friday
2025-07-05,107.06,86.0,129500,Phoenix,Saturday
2025-07-06,109.94,86.0,135434,Phoenix,Sunday
2025-07-07,111.02,91.03999999999999,145781,Phoenix,Monday
2025-07-08,111.91999999999999,91.94,153463,Phoenix,Tuesday
2025-07-09,118.03999999999999,93.02,159614,Phoenix,Wednesday
2025-07-10,113.0,95.0,157865,Phoenix,Thursday
2025-07-11,111.02,89.96000000000001,155245,Phoenix,Friday
2025-07-12,107.96000000000001,87.98,144767,Phoenix,Saturday
2025-07-13,107.96000000000001,89.96000000000001,138549,Phoenix,Sunday
2025-07-14,107.06,89.96000000000001,144375,Phoenix,Monday
2025-07-15,107.06,86.0,144704,Phoenix,Tuesday
2025-07-16,96.98,82.94,135777,Phoenix,Wednesday
2025-07-17,100.94,80.06,139605,Phoenix,Thursday
2025-07-18,107.96000000000001,87.98,141223,Phoenix,Friday
2025-07-19,107.06,87.08000000000001,136549,Phoenix,Saturday
2025-07-20,96.98,89.96000000000001,121661,Phoenix,Sunday
2025-07-21,104.0,84.91999999999999,127762,Phoenix,Monday
2025-07-22,102.02,84.02,134046,Phoenix,Tuesday
2025-07-23,104.0,84.91999999999999,129731,Phoenix,Wednesday
2025-07-24,105.98,80.06,127657,Phoenix,Thursday
2025-07-25,109.03999999999999,80.06,125526,Phoenix,Friday
2025-07-26,107.06,80.96,130006,Phoenix,Saturday
2025-07-27,109.94,82.04,125642,Phoenix,Sunday
2025-07-28,113.0,86.0,138546,Phoenix,Monday
2025-07-29,109.94,87.98,144630,Phoenix,Tuesday
2025-07-30,111.02,87.08000000000001,154528,Phoenix,Wednesday
2025-07-31,111.02,87.98,117894,Phoenix,Thursday
2025-08-01,113.0,91.94,155244,Phoenix,Friday
2025-08-02,114.08000000000001,89.96000000000001,146728,Phoenix,Saturday
2025-08-03,111.91999999999999,84.02,136134,Phoenix,Sunday
2025-08-04,111.91999999999999,87.08000000000001,150942,Phoenix,Monday
2025-08-05,114.08000000000001,89.96000000000001,152274,Phoenix,Tuesday
2025-08-06,116.06,91.03999999999999,160645,Phoenix,Wednesday
2025-08-07,118.03999999999999,93.91999999999999,163668,Phoenix,Thursday
2025-08-08,114.08000000000001,91.94,162893,Phoenix,Friday
2025-08-09,109.94,91.94,164459,Phoenix,Saturday
2025-08-10,107.96000000000001,91.03999999999999,154834,Phoenix,Sunday
2025-08-11,111.91999999999999,91.94,156110,Phoenix,Monday
2025-08-12,111.91999999999999,91.03999999999999,155557,Phoenix,Tuesday
2025-08-13,109.03999999999999,89.96000000000001,153849,Phoenix,Wednesday
2025-08-14,109.03999999999999,86.0,148270,Phoenix,Thursday
2025-08-15,104.0,75.92,137781,Phoenix,Friday
2025-08-16,105.98,84.02,132448,Phoenix,Saturday
2025-08-17,105.08000000000001,84.02,128492,Phoenix,Sunday
2025-08-18,107.06,84.91999999999999,134080,Phoenix,Monday
2025-08-19,107.96000000000001,87.08000000000001,140117,Phoenix,Tuesday
2025-08-20,111.91999999999999,89.06,151594,Phoenix,Wednesday
2025-08-21,114.08000000000001,89.06,163554,Phoenix,Thursday
2025-08-22,111.91999999999999,89.06,159101,Phoenix,Friday
2025-08-23,109.94,91.94,155443,Phoenix,Saturday
2025-08-24,111.02,91.94,157159,Phoenix,Sunday
2025-08-25,102.91999999999999,75.92,149909,Phoenix,Monday
2025-08-26,96.98,78.08,130124,Phoenix,Tuesday
2025-08-27,102.02,78.98,136326,Phoenix,Wednesday
2025-08-28,105.08000000000001,87.98,145784,Phoenix,Thursday
2025-08-29,102.02,80.96,138028,Phoenix,Friday
2025-08-30,107.06,84.91999999999999,135547,Phoenix,Saturday
2025-08-31,109.03999999999999,84.02,138428,Phoenix,Sunday
2025-09-01,107.06,87.98,141515,Phoenix,Monday
2025-09-02,109.03999999999999,86.0,146277,Phoenix,Tuesday
2025-09-03,105.98,78.08,140997,Phoenix,Wednesday
2025-09-04,96.98,75.02,129057,Phoenix,Thursday
2025-09-05,96.98,80.96,129546,Phoenix,Friday
2025-09-06,100.03999999999999,84.02,130467,Phoenix,Saturday
2025-09-07,102.02,82.94,137921,Phoenix,Sunday
2025-09-08,105.08000000000001,87.98,144865,Phoenix,Monday
2025-09-09,105.98,86.0,141312,Phoenix,Tuesday
2025-09-10,107.96000000000001,86.0,137115,Phoenix,Wednesday
2025-09-11,104.0,82.04,130900,Phoenix,Thursday
2025-09-12,102.02,82.04,124788,Phoenix,Friday
