date,tmax_f,tmin_f,energy_mwh,city,day_of_week
2025-06-04,66.92,53.96,22265,Seattle,Wednesday
2025-06-05,77.0,51.08,22252,Seattle,Thursday
2025-06-06,78.98,57.02,23403,Seattle,Friday
2025-06-07,80.96,55.04,22797,Seattle,Saturday
2025-06-08,89.96000000000001,60.980000000000004,23929,Seattle,Sunday
2025-06-09,87.08000000000001,60.980000000000004,26725,Seattle,Monday
2025-06-10,80.96,53.06,25644,Seattle,Tuesday
2025-06-11,69.08,51.08,22941,Seattle,Wednesday
2025-06-12,66.02,51.08,21712,Seattle,Thursday
2025-06-13,64.04,50.0,22131,Seattle,Friday
2025-06-14,68.0,48.92,21257,Seattle,Saturday
2025-06-15,71.06,51.98,21122,Seattle,Sunday
2025-06-16,73.94,50.0,23180,Seattle,Monday
2025-06-17,73.04,50.0,23208,Seattle,Tuesday
2025-06-18,69.08,55.04,23268,Seattle,Wednesday
2025-06-19,69.08,50.0,21296,Seattle,Thursday
2025-06-20,62.959999999999994,51.08,21898,Seattle,Friday
2025-06-21,57.92,50.0,21668,Seattle,Saturday
2025-06-22,68.0,53.06,21318,Seattle,Sunday
2025-06-23,77.0,53.06,23342,Seattle,Monday
2025-06-24,80.06,53.96,23738,Seattle,Tuesday
2025-06-25,71.06,53.96,22230,Seattle,Wednesday
2025-06-26,66.02,55.04,21650,Seattle,Thursday
2025-06-27,69.08,55.04,22158,Seattle,Friday
2025-06-28,75.02,55.04,21538,Seattle,Saturday
2025-06-29,80.06,55.04,21937,Seattle,Sunday
2025-06-30,87.08000000000001,60.08,25430,Seattle,Monday
2025-07-01,87.08000000000001,57.92,25738,Seattle,Tuesday
2025-07-02,75.02,53.96,24132,Seattle,Wednesday
2025-07-03,69.08,53.06,21648,Seattle,Thursday
2025-07-04,73.94,55.04,20859,Seattle,Friday
2025-07-05,75.02,53.06,21185,Seattle,Saturday
2025-07-06,78.98,57.02,21800,Seattle,Sunday
2025-07-07,84.91999999999999,57.92,24920,Seattle,Monday
2025-07-08,84.91999999999999,57.92,25740,Seattle,Tuesday
2025-07-09,71.96,59.0,23509,Seattle,Wednesday
2025-07-10,73.04,57.02,22176,Seattle,Thursday
2025-07-11,84.02,59.0,23677,Seattle,Friday
2025-07-12,82.94,64.04,24031,Seattle,Saturday
2025-07-13,89.96000000000001,64.04,24591,Seattle,Sunday
2025-07-14,78.08,62.059999999999995,26066,Seattle,Monday
2025-07-15,87.98,55.94,26040,Seattle,Tuesday
2025-07-16,93.91999999999999,66.02,27218,Seattle,Wednesday
2025-07-17,86.0,55.94,25729,Seattle,Thursday
2025-07-18,69.98,55.94,23966,Seattle,Friday
2025-07-19,69.98,55.04,21658,Seattle,Saturday
2025-07-20,64.94,51.08,21269,Seattle,Sunday
2025-07-21,77.0,53.96,23780,Seattle,Monday
2025-07-22,78.08,57.02,24334,Seattle,Tuesday
2025-07-23,82.94,57.02,24256,Seattle,Wednesday
2025-07-24,75.92,55.04,23559,Seattle,Thursday
2025-07-25,71.06,55.04,22782,Seattle,Friday
2025-07-26,71.06,53.06,21169,Seattle,Saturday
2025-07-27,75.92,55.04,21770,Seattle,Sunday
2025-07-28,82.04,53.96,23665,Seattle,Monday
2025-07-29,84.91999999999999,57.02,24849,Seattle,Tuesday
2025-07-30,84.91999999999999,57.92,25185,Seattle,Wednesday
2025-07-31,80.06,60.08,24580,Seattle,Thursday
2025-08-01,75.02,57.02,24311,Seattle,Friday
2025-08-02,73.04,57.92,22892,Seattle,Saturday
2025-08-03,71.06,55.94,21983,Seattle,Sunday
2025-08-04,71.06,57.92,23540,Seattle,Monday
2025-08-05,78.08,57.02,23681,Seattle,Tuesday
2025-08-06,71.96,60.08,23559,Seattle,Wednesday
2025-08-07,69.98,57.92,22162,Seattle,Thursday
2025-08-08,77.0,53.96,22658,Seattle,Friday
2025-08-09,80.96,57.92,22581,Seattle,Saturday
2025-08-10,87.98,60.980000000000004,24035,Seattle,Sunday
2025-08-11,87.08000000000001,69.08,27658,Seattle,Monday
2025-08-12,91.94,64.04,28779,Seattle,Tuesday
2025-08-13,78.08,62.059999999999995,26736,Seattle,Wednesday
2025-08-14,75.02,57.92,23286,Seattle,Thursday
2025-08-15,68.0,60.980000000000004,23703,Seattle,Friday
2025-08-16,73.94,59.0,22688,Seattle,Saturday
2025-08-17,73.94,60.08,22553,Seattle,Sunday
2025-08-18,75.02,57.92,24059,Seattle,Monday
2025-08-19,75.02,59.0,24523,Seattle,Tuesday
2025-08-20,75.02,60.08,24142,Seattle,Wednesday
2025-08-21,78.08,53.06,22905,Seattle,Thursday
2025-08-22,89.06,57.02,24584,Seattle,Friday
2025-08-23,89.96000000000001,62.059999999999995,24962,Seattle,Saturday
2025-08-24,89.96000000000001,62.959999999999994,25530,Seattle,Sunday
2025-08-25,91.03999999999999,60.980000000000004,27945,Seattle,Monday
2025-08-26,87.98,62.059999999999995,27577,Seattle,Tuesday
2025-08-27,75.02,60.980000000000004,26113,Seattle,Wednesday
2025-08-28,82.04,60.08,25073,Seattle,Thursday
2025-08-29,73.04,57.92,24689,Seattle,Friday
2025-08-30,69.98,57.02,22391,Seattle,Saturday
